"key",cn,zh,en,pt
errorDefault,网络错误，请稍后重试,網絡錯誤，請稍後重試,"Failed to connect, please try again later.","Erro de conexão, favor tentar novamente. ",,,,
error0,操作成功,操作成功,Success,Sucesso,,,,
error995,非法请求,非法請求,Invalid request,Requisição Inválida,,,,
error996,签名无效,簽名無效,Invalid signature,Usuário Inválido,,,,
error997,服务器正忙，请稍后再试,服務器正忙，請稍後再試,The server is too busy，Please try again later,"Servidor ocupado, por favor tente mais tarde.",,,,
error998,您的操作太频繁，请稍后再试,您的操作太頻繁，請稍後再試,"Operating frequency,Please try again later.","Muitas solicitações, por favor tente novamente mais tarde.",,,,
error999,请求失败，请稍后重试,請求失敗，請稍後重試,"Request failed, please try again later.","Falha de requisição, por favor tente mais tarde!",,,,
error101,参数值必须指定！,參數值必須指定！,Parameter value must be specified!,Valor de parâmetro deve ser especificado!,,,,
error102,参数长度超出允许范围！,參數長度超出允許範圍！,Parameter length beyond allowable range!,Comprimento de parâmetro além do intervalo permitido!,,,,
error103,参数值未满足最小值约束！,參數值未滿足最小值約束！,Parameter values do not meet minimum constraints!,Valor de parâmetro não atende às restrições mínimas!,,,,
error104,参数值无效！,參數值無效！,Invalid parameter value!,Valor de parâmetro inválido!,,,,
error199,未知参数错误！,未知參數錯誤！,Unknown parameter error!,Erro de parâmetro desconhecido!,,,,
error1000,短信发送失败,短信發送失敗,SMS sending failure,Falha ao enviar mensagem,,,,
error1001,验证码输入错误,驗證碼輸入錯誤,Validation Code Input Error,Código de verificação incorreto,,,,
error1100,手机不合法,手機不合法,Invalid Mobile Phone,Número de celular incorreto.,,,,
error1101,手机已注册,手機已註冊,Mobile phone registered,Número de celular cadastrado,,,,
error1102,手机未注册,手機未註冊,Mobile phone unregistered,Número de celular descadastrado,,,,
error1103,手机已注册,手機已註冊,Mobile Phone registered,Número de celular cadastrado,,,,
error1104,超过了IMEI限制,超過了IMEI限制,Exceeds IMEI limits,Excedeu limite de IMEI,,,,
error1105,禁止模拟器注册,禁止模擬器註冊,Simulator Registration prohibition ,Sem registro de simulador ,,,,
error1106,金豆数不足,金豆數不足,Insufficient golden chips,Número insuficiente de moedas ouro,,,,
error1107,用户不存在,用戶不存在,User does not exist,Usuário Inexistente,,,,
